Nom,Catégorie,Âge,Prix,Intérieur/Extérieur,Adresse,Code postal,Commune,Tags affichés,Latitude,Longitude,Téléphone,Horaires,Site web,Remarque
Aire de jeux de la mairie,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Saint-Genis-Pouilly,Aire de jeux,46.244236,6.025788,,,,
Aire de jeux des pirates,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Saint-Genis-Pouilly,Aire de jeux,46.250214,6.029078,,,,
Aire de jeux des pommiers,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Saint-Genis-Pouilly,Aire de jeux,46.246677,6.027468,,,,
Aire de jeux du parc Soubeyran,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Genève,Aire de jeux,46.212152,6.124069,,,,
Aire de jeux le crocodile,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Saint-Genis-Pouilly,Aire de jeux,46.247557,6.024049,,,,
Aire de jeux le jardin d'Eden,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Saint-Genis-Pouilly,Aire de jeux,46.251592,6.029771,,,,
Arboretum,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.224091,6.146179,,,,
Baby Plage,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.208626,6.163533,,,,
Campagne Charnaux,Parcs & aires de jeux,,Gratuit,Extérieur,,,Meyrin,,46.229139,6.074150,,,,
Central Park,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,Avenue de la Gare,,Divonne-les-Bains,Aire de jeux,46.354008,6.136633,,,,
Domaine de Penthes,Parcs & aires de jeux,,Gratuit,Extérieur,,,Pregny-Chambésy,,46.232346,6.142029,,,,
Esplanade de la Tambourine,Parcs & aires de jeux,,Gratuit,Extérieur,Rue de La-Tambourine,,Carouge,,46.175468,6.142336,,,,
Esplanade Théodore de Bèze,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.200252,6.151329,,,,
Jardin Botanique Alpin,Parcs & aires de jeux,,Gratuit,Extérieur,7 Chemin du Jardin-Alpin,,Meyrin,,46.227239,6.081694,,,https://meyrin.ch/jbam,
Jardin botanique de Genève,Parcs & aires de jeux,,Gratuit,Extérieur,1 Chemin de l'Impératrice,,Chambésy,,46.227144,6.147161,,,https://www.jardinbotaniquegeneve.ch/,
Jardin de la Paix,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.219442,6.127090,,,https://www.ville-geneve.ch/plan-ville/parcs-jardins-plages-bains-publics/jardin-paix/,
Jardin des Alpes,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.208452,6.148624,,,,
Jardin des Disparus,Parcs & aires de jeux,,Gratuit,Extérieur,,,Meyrin,,46.229856,6.076017,,,https://jardindesdisparus.org/,
Jardin des senteurs et du toucher,Parcs & aires de jeux,,Gratuit,Extérieur,,,Pregny-Chambésy,,46.229798,6.148218,,,,
Jardin Robinson de Meyrin,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Meyrin,Aire de jeux,46.234726,6.075234,,,https://jrmeyrin.ch,
La place haute du Bachet-de-Pesay,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.173371,6.130253,,,https://www.lancy.ch/la-place-haute-du-bachet-de-pesay-et-lepicerie-du-local,
La Savonnière,Parcs & aires de jeux,,Gratuit,Extérieur,,,Collonge-Bellerive,,46.263817,6.200809,,,,
Le Creux-de-Genthod,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genthod,,46.263499,6.163652,,,,
Le Reposoir,Parcs & aires de jeux,,Gratuit,Extérieur,,,Pregny-Chambésy,,46.230779,6.150035,,,,
Le Vengeron,Parcs & aires de jeux,,Gratuit,Extérieur,,,Bellevue,,46.246237,6.152750,,,,
Le Verger Antique,Parcs & aires de jeux,,Gratuit,Extérieur,,,Bellevue,,46.256298,6.144375,,,,
Lézard des Grottes,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Genève,Aire de jeux,46.210261,6.139125,,,,
Morillon-Parc,Parcs & aires de jeux,,Gratuit,Extérieur,,,Onex,,46.185976,6.102040,,,,
Noyer,Parcs & aires de jeux,,Gratuit,Extérieur,,,Satigny,,46.206294,6.027382,,,,
"Parc ""Noie tes puces""",Parcs & aires de jeux,,Gratuit,Extérieur,,,Carouge,,46.186220,6.145521,,,,
Parc Adélaïde Sara Pictet de Rochemont,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.183744,6.123964,,,,
Parc au Croisement,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.198733,6.155691,,,,
Parc aux animaux,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.198528,6.122622,,,,
Parc Baud-Bovy,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.195288,6.138534,,,,
Parc Beaulieu,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.214559,6.137249,,,,
Parc Bernasconi,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.187091,6.121995,,,,
Parc Bois-Chatton,Parcs & aires de jeux,,Gratuit,Extérieur,,,Versonnex,,46.295082,6.104417,,,,
Parc Brot,Parcs & aires de jeux,,Gratuit,Extérieur,,,Onex,,46.183723,6.104090,,,,
Parc Cérésole,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.188322,6.119061,,,,
Parc Chauvet-Lullin,Parcs & aires de jeux,,Gratuit,Extérieur,,,Vernier,,46.212127,6.081348,,,,
Parc Chuit,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.191623,6.123616,,,,
Parc de Bourgogne,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.210350,6.125523,,,,
Parc de Budé,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.224273,6.129790,,,,
Parc de Drize,Parcs & aires de jeux,,Gratuit,Extérieur,,,Troinex,,46.154117,6.148675,,,,
Parc de l'abeille,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Lancy,Aire de jeux,46.192390,6.120897,,,,
Parc de l'Ariana,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.227347,6.141400,,,https://www.geneve.ch/parc-ariana,
Parc de l'Etang,Parcs & aires de jeux,,Gratuit,Extérieur,,,Vernier,,46.218255,6.105814,,,,
Parc de l'Olivier,Parcs & aires de jeux,,Gratuit,Extérieur,,,Divonne-les-Bains,,46.351270,6.148021,,,,
Parc de la Becassine,Parcs & aires de jeux,,Gratuit,Extérieur,,,Versoix,,46.274470,6.169744,,,,
Parc de la Butte,Parcs & aires de jeux,,Gratuit,Extérieur,,,Plan-les-Ouates,,46.166621,6.118646,,,,
Parc de la Contesse-de-Saint-Bon,Parcs & aires de jeux,,Gratuit,Extérieur,,,Meyrin,,46.230632,6.074003,,,,
Parc de la ferme de Saint-Maurice,Parcs & aires de jeux,,Gratuit,Extérieur,,,Collonge-Bellerive,,46.252039,6.215085,,,,
Parc de la Gare,Parcs & aires de jeux,,Gratuit,Extérieur,,,Divonne-les-Bains,,46.353380,6.135785,,,,
Parc de la Mairie,Parcs & aires de jeux,,Gratuit,Extérieur,,,Onex,,46.180842,6.102875,,,,
Parc de la Mairie-de-Lancy,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.183850,6.122638,,,,
Parc de la Mouile,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Veyrier,Aire de jeux,46.164572,6.183494,,,,
Parc de la Nymphe,Parcs & aires de jeux,,Gratuit,Extérieur,,,Collonge-Bellerive,,46.259091,6.196399,,,,
Parc de la place de Carantec,Parcs & aires de jeux,,Gratuit,Extérieur,,,Le Grand-Saconnex,,46.233044,6.123951,,,,
Parc de la Pralie,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.175227,6.124546,,,,
Parc de la Sablière,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Meyrin,Aire de jeux,46.231413,6.065731,,,,
