Nom,Catégorie,Âge,Prix,Intérieur/Extérieur,Adresse,Code postal,Commune,Tags affichés,Latitude,Longitude,Téléphone,Horaires,Site web,Remarque
La Boussole,Accueil parents-enfants,,,,"01210 Ferney-Voltaire",01210,Ferney-Voltaire,Espace de vie sociale,,,04 50 13 82 63,,https://www.ferney-voltaire.fr/vivre-a-ferney-voltaire/action-sociale/espace-de-vie-sociale/,Adresse précise non publiée par la source
La Chenaillette,Accueil parents-enfants,,,,"3 rue Lafayette, 01630 Saint-Genis-Pouilly",01630,Saint-Genis-Pouilly,,,,04 50 20 62 01,,https://www.lachenaillette.mon-paysdegex.fr,
La chèvrerie de Capucine,Animaux,,,,,,,,,,06 80 00 16 43,,https://www.ecurie-equiparadis-chevrerie-de-capucine.fr/,Adresse non publiée par la source
Lac de Divonne,Balades & nature,,,Extérieur,"Lac de Divonne, 01220 Divonne-les-Bains",01220,Divonne-les-Bains,,,,,,,
Maison des familles de Prévessin-Moëns,Accueil parents-enfants,,,,"01280 Prévessin-Moëns",01280,Prévessin-Moëns,,,,06 07 55 60 45,,https://www.prevessin-moens.fr/famille-et-solidarite/maison-des-familles/,
Médiathèque de Divonne-les-Bains,Bibliothèques & ludothèques,,,Intérieur,"Esplanade du Lac, 181 avenue de la Plage, 01220 Divonne-les-Bains",01220,Divonne-les-Bains,,,,,,https://www.mediathequecorrespondances.fr/,
Médiathèque de Ferney-Voltaire,Bibliothèques & ludothèques,,,Intérieur,"01210 Ferney-Voltaire",01210,Ferney-Voltaire,,,,04 57 28 00 38,,https://mediatheque.ferney-voltaire.fr/,
Médiathèque George Sand,Bibliothèques & ludothèques,,,Intérieur,,,Saint-Genis-Pouilly,,,,,,https://mediatheque.saint-genis-pouilly.fr/,
Musée des pompiers,Musées & culture,,,,"01170 Gex",01170,Gex,,,,,,,
Bibliothèque de Mijoux,Bibliothèques & ludothèques,,,Intérieur,"Rue Dame Pernette, 01410 Mijoux",01410,Mijoux,,,,,,https://www.mijoux.fr/-bibliotheque-53-.html,
Bibliothèque de Péron,Bibliothèques & ludothèques,,,Intérieur,"482 route de Péron, 01630 Péron",01630,Péron,,,,,,https://www.mairie-peron.com/bibliotheque,
Bibliothèque de Pougny,Bibliothèques & ludothèques,,,Intérieur,"01550 Pougny",01550,Pougny,,,,,,,
Bibliothèque de Prévessin-Moëns,Bibliothèques & ludothèques,,,Intérieur,"62 esplanade du Môle, 01280 Prévessin-Moëns",01280,Prévessin-Moëns,,,,,,https://bibliotheque.prevessin-moens.fr/accueil-portal.aspx,
Bibliothèque de Saint-Jean-de-Gonville,Bibliothèques & ludothèques,,,Intérieur,"153 rue du Champ de Foire, 01630 Saint-Jean-de-Gonville",01630,Saint-Jean-de-Gonville,,,,,,https://www.instagram.com/bib_st_jean_de_gonville/,
Bibliothèque de Sauverny,Bibliothèques & ludothèques,,,Intérieur,"236 Les Passereaux, 01220 Sauverny",01220,Sauverny,,,,,,https://www.mairie-sauverny.fr/village/bibliotheque-municipale/,
Bibliothèque de Sergy,Bibliothèques & ludothèques,,,Intérieur,"18 route de Thoiry, 01630 Sergy",01630,Sergy,,,,,,https://www.sergy.fr/decouvrir/bibliotheque-municipale-de-sergy/,
Bibliothèque de Thoiry,Bibliothèques & ludothèques,,,Intérieur,"Rue du Breu, 01710 Thoiry",01710,Thoiry,,,,,,https://www.bibliotheque-thoiry.fr/,
Bibliothèque de Versonnex,Bibliothèques & ludothèques,,,Intérieur,"21 chemin Levé, 01210 Versonnex",01210,Versonnex,,,,,,https://www.versonnex.fr/bibliotheque/,
Bibliothèque Point virgule,Bibliothèques & ludothèques,,,Intérieur,"463 rue de la Treille, 01630 Challex",01630,Challex,,,,,,https://www.challex.fr/les-associations/associations-culturelles/bibliotheque-municipale-point-virgule/,
Café des parents de Versonnex,Accueil parents-enfants,,,,"01210 Versonnex",01210,Versonnex,,,,06 83 07 82 64,,https://www.versonnex.fr/evenement/cafe-des-parents-6/,Rencontre périodique, vérifier les dates
Centre aquatique Au Fil de l'O,Activités sportives & aquatiques,,,Intérieur,,,Saint-Genis-Pouilly,,,,,,https://www.vert-marine.com/aufildelo/activites/,
Centre socio-culturel Les Libellules,Accueil parents-enfants,,,,"228 avenue des Alpes, 01170 Gex",01170,Gex,,,,04 50 28 34 17,,https://www.cscleslibellules.fr,
Club Agym,Activités sportives & aquatiques,,,Intérieur,"15 avenue des Sports, 01210 Ferney-Voltaire",01210,Ferney-Voltaire,Éveil moteur / Baby gym,,,,,https://agym-paysdegex.fr,
Club La Gexoise,Activités sportives & aquatiques,,,Intérieur,"165 place Georges Charpak, 01170 Gex",01170,Gex,Éveil moteur,,,,,https://lagexoise.fr,
Club Ornex Forme,Activités sportives & aquatiques,,,Intérieur,"01210 Ornex",01210,Ornex,Éveil moteur,,,,,https://ornex-forme.mon-paysdegex.fr,
Courte Échelle,Accueil parents-enfants,,,,"01210 Ornex",01210,Ornex,,,,07 48 88 13 28,,https://www.ornex.fr,
Equit'Annaz,Animaux,,,Extérieur,"1607 route de Pougny, 01630 Péron",01630,Péron,Poneys,,,,,https://equitannaz.com,
Fort l'Écluse,Musées & culture,,,,"Fort l'Écluse, Pays de Gex",,,,,,,,https://www.paysdegex-montsjura.com,Commune non publiée par la source
Jardin du château,Parcs & aires de jeux,,,Extérieur,"Jardin du château, 01210 Ferney-Voltaire",01210,Ferney-Voltaire,,,,,,,
Jungle Park Saint-Genis,Aire de jeux couverte,,,,,,Saint-Genis-Pouilly,,,,,,,
Parc du château,Parcs & aires de jeux,,,Extérieur,"01280 Prévessin-Moëns",01280,Prévessin-Moëns,,,,,,,
Pierre Papier Ciseaux,Activités,,,Intérieur,,,,,,,,,https://www.pierre-papier-ciseaux.fr/,Adresse non publiée par la source
Piscine municipale de Ferney-Voltaire,Activités sportives & aquatiques,,,,"Avenue des Sports, 01210 Ferney-Voltaire",01210,Ferney-Voltaire,,,,,,https://www.ferney-voltaire.fr/decouvrir-et-sortir/sport/centre-nautique/,
Piscine municipale de Gex,Activités sportives & aquatiques,,,,"31 rue Georges Charpak, 01170 Gex",01170,Gex,,,,,,http://www.gex.fr/la-piscine-municipale/,
Plan d'eau de Cessy-Tugegny,Balades & nature,,,Extérieur,"01170 Cessy",01170,Cessy,,,,,,,
