Nom,Catégorie,Âge,Prix,Intérieur/Extérieur,Adresse,Code postal,Commune,Tags affichés,Latitude,Longitude,Téléphone,Horaires,Site web,Remarque,Début,Fin
Les chapiteaux enchantés (Vernier),Événements de saison,0-4,Gratuit,Extérieur,"Parc de la Mairie, Rue du Village 9, 1214 Vernier",1214,Vernier,Petite enfance / Itinérant,,,,,https://www.ge.ch/teaser/chapiteaux-enchantes,Activités petite enfance sous chapiteau. Enfants accompagnés.,2026-07-01,2026-07-05
Les chapiteaux enchantés (Carouge),Événements de saison,0-4,Gratuit,Extérieur,"Quartier des Auréa, Route de Veyrier 46-58, 1227 Carouge",1227,Carouge,Petite enfance / Itinérant,,,,,https://www.ge.ch/teaser/chapiteaux-enchantes,Activités petite enfance sous chapiteau. Enfants accompagnés.,2026-07-01,2026-07-05
Les chapiteaux enchantés (parc Hentsch),Événements de saison,0-4,Gratuit,Extérieur,"Parc Gustave et Léonard Hentsch, Avenue de Châtelaine 28, 1203 Genève",1203,Genève,Petite enfance / Itinérant,,,,,https://www.ge.ch/teaser/chapiteaux-enchantes,Activités petite enfance sous chapiteau. Enfants accompagnés.,2026-07-08,2026-07-12
Les chapiteaux enchantés (Thônex),Événements de saison,0-4,Gratuit,Extérieur,"Parc François-Auguste-Châtrier, Chemin du Bois-des-Arts 58, 1226 Thônex",1226,Thônex,Petite enfance / Itinérant,,,,,https://www.ge.ch/teaser/chapiteaux-enchantes,Activités petite enfance sous chapiteau. Enfants accompagnés.,2026-07-15,2026-07-19
Les chapiteaux enchantés (Onex),Événements de saison,0-4,Gratuit,Extérieur,"Préau de l'école des Tattes, Rue du Comte-Géraud 26, 1213 Onex",1213,Onex,Petite enfance / Itinérant,,,,,https://www.ge.ch/teaser/chapiteaux-enchantes,Activités petite enfance sous chapiteau. Enfants accompagnés.,2026-07-22,2026-07-26
Les chapiteaux enchantés (Meyrin),Événements de saison,0-4,Gratuit,Extérieur,"Parc des Micocouliers, Avenue de Mategnin, 1217 Meyrin",1217,Meyrin,Petite enfance / Itinérant,,,,,https://www.ge.ch/teaser/chapiteaux-enchantes,Activités petite enfance sous chapiteau. Enfants accompagnés.,2026-08-05,2026-08-09
Les chapiteaux enchantés (parc Eglantyne Jebb),Événements de saison,0-4,Gratuit,Extérieur,"Parc Eglantyne Jebb, Rue des Epinettes, 1227 Genève",1227,Genève,Petite enfance / Itinérant,,,,,https://www.ge.ch/teaser/chapiteaux-enchantes,Activités petite enfance sous chapiteau. Enfants accompagnés.,2026-08-12,2026-08-16
Les chapiteaux enchantés (Lancy),Événements de saison,0-4,Gratuit,Extérieur,"Parc Navazza-Oltramare, Chemin de la Colline 2, 1212 Lancy",1212,Lancy,Petite enfance / Itinérant,,,,,https://www.ge.ch/teaser/chapiteaux-enchantes,Activités petite enfance sous chapiteau. Enfants accompagnés.,2026-09-09,2026-09-13
Fête nationale au parc La Grange,Événements de saison,0-12+,Gratuit,Extérieur,"Parc La Grange, Quai Gustave-Ador, 1207 Genève",1207,Genève,1er août / Lampions / Jeux enfants,,,,Dès 15h,https://www.geneve.ch/agenda/fete-nationale-suisse-aout,"Disco kids, bulles de savon géantes, Ludobus, jonglage et mur de grimpe. Cortège aux lampions et feu de joie.",2026-08-01,2026-08-01
Fête nationale à Lancy,Événements de saison,0-12+,Gratuit,Extérieur,"Parc Navazza-Oltramare, Chemin de la Colline 2, 1212 Lancy",1212,Lancy,1er août / Carrousel / Feu d'artifice,,,,Dès 18h,,"Carrousel, combat de sumo, feu de camp, cortège aux lampions et feu d'artifice.",2026-08-01,2026-08-01
Fête nationale à Meyrin,Événements de saison,0-12+,Gratuit,Extérieur,"Rue de la Campagne-Charnaux, 1217 Meyrin",1217,Meyrin,1er août / Lampions / Mapping,,,,18h-24h,https://www.meyrin.ch/fr/agenda/fete-du-1er-aout-2026,Maquillage et tatouages. Ateliers gratuits de fabrication de lampions les 31 juillet et 1er août de 13h à 17h.,2026-08-01,2026-08-01
Fête nationale à Carouge,Événements de saison,0-12+,Gratuit,Extérieur,"Place de Sardaigne, 1227 Carouge",1227,Carouge,1er août / Lampions / Lutte suisse,,,,Animations dès la journée; officiel dès 18h,https://www.carouge.ch/agenda/fete-nationale-suisse-2026,Atelier de lampions de 15h à 17h30 place de l'Octroi. Initiation à la lutte suisse. Pas de feux d'artifice.,2026-08-01,2026-08-01
Fête nationale des Trois-Chêne,Événements de saison,0-12+,Gratuit,Extérieur,"Parc Sismondi, 1224 Chêne-Bougeries",1224,Chêne-Bougeries,1er août / Châteaux gonflables / Chiens,,,,Dès 18h,,Châteaux gonflables et présentation de bouviers suisses et saint-bernard. Spectacle pyromélodique à 22h.,2026-08-01,2026-08-01
Fête nationale au Grand-Saconnex,Événements de saison,0-12+,Gratuit,Extérieur,"Parc Château-Pictet, 1218 Le Grand-Saconnex",1218,Le Grand-Saconnex,1er août,,,,Dès 18h,,,2026-08-01,2026-08-01
Fête nationale à la plage de la Savonnière,Événements de saison,0-12+,Gratuit,Extérieur,"Plage de la Savonnière, 1245 Collonge-Bellerive",1245,Collonge-Bellerive,1er août / Plage,,,,,https://www.collonge-bellerive.ch,La plage est fermée au public jusqu'à 18h le jour de la fête.,2026-08-01,2026-08-01
Fête nationale à Plan-les-Ouates,Événements de saison,0-12+,Gratuit,Extérieur,"Route des Chevaliers-de-Malte 3, 1228 Plan-les-Ouates",1228,Plan-les-Ouates,1er août / Village des enfants,,,,Dès 10h; village des enfants dès 17h,https://www.plan-les-ouates.ch/1-aout-2026-plo,"Village des enfants dès 17h : atelier lampions (100 places), sculpture de ballons, maquillage et pêche aux canards.",2026-08-01,2026-08-01
Ludobus,Événements de saison,0-12+,Gratuit,Extérieur,,,,Jeux / Itinérant,,,,Lundi à jeudi 15h30-19h,https://www.geneve.ch,Le Ludobus change de parc chaque semaine : voir le programme en ligne. Pas de lieu fixe.,2026-06-29,2026-09-24
Bibliomobile,Événements de saison,3-12+,Gratuit,Extérieur,"Promenade du Pin, 1204 Genève",1204,Genève,Livres / Plein air,,,,Jeudis 10h-12h,https://www.geneve.ch,,2026-07-09,2026-08-13
Créateliers du square de Monthoux,Événements de saison,0-12+,Gratuit,Extérieur,"Rue de Monthoux 32, 1201 Genève",1201,Genève,Ateliers créatifs,,,,Lundi à vendredi 14h-18h,https://www.geneve.ch,,2026-07-27,2026-08-14
Créamobile,Événements de saison,0-12+,Gratuit,Extérieur,"Place de la Navigation, 1201 Genève",1201,Genève,Ateliers créatifs,,,,Mercredis 16h-18h,https://www.geneve.ch,,2026-07-29,2026-10-14
Jeux à la Canopée,Événements de saison,0-12+,Gratuit,Extérieur,"Quai Gustave-Ador, 1207 Genève",1207,Genève,Jeux,,,,Mercredis,https://www.geneve.ch,,2026-06-03,2026-08-12
Petit Pilates enfants à la Canopée,Événements de saison,4-10,Gratuit,Extérieur,"Quai Gustave-Ador, 1207 Genève",1207,Genève,Mouvement,,,,Samedis 11h-12h,https://www.geneve.ch,,2026-06-27,2026-08-15
Yoga parents-enfants à la Canopée,Événements de saison,0-12+,Gratuit,Extérieur,"Quai Gustave-Ador, 1207 Genève",1207,Genève,Yoga / En famille,,,,Mercredis 10h-11h,https://www.geneve.ch,,2026-07-01,2026-08-05
La place des Grottes est à vous,Événements de saison,0-12+,Gratuit,Extérieur,"Place des Grottes, 1201 Genève",1201,Genève,Musique / Théâtre / Jeux,,,,Mercredis,https://www.geneve.ch,,2026-07-01,2026-08-12
Un été à Sécheron,Événements de saison,0-12+,Gratuit,Extérieur,"Rue Anne-Torcapel 2, 1202 Genève",1202,Genève,Jeux / Ateliers / Grillades,,,,Selon programme,https://www.geneve.ch,,2026-06-26,2026-08-19
Un été au 99,Événements de saison,0-12+,Gratuit,Extérieur,"Rue de Lyon 99, 1203 Genève",1203,Genève,Sport / Danse / Ateliers,,,,Selon programme,https://www.geneve.ch,,2026-05-29,2026-08-29
All Kids Inclusive,Événements de saison,0-12+,Gratuit,Extérieur,,,,Plein air / Itinérant / Inclusif,,,,Sans inscription,https://www.geneve.ch,"Activités adultes-enfants en plein air, en différents lieux de Genève. Pas de lieu fixe.",2026-06-29,2026-08-29
Écrans parlons-en,Événements de saison,0-12+,Gratuit,Extérieur,"Parc Trembley, Avenue Wendt, 1203 Genève",1203,Genève,Pataugeoire,,,,,https://www.geneve.ch,,2026-06-29,2026-09-01
Pumptrack du quai Gustave-Ador,Événements de saison,0-12+,Gratuit,Extérieur,"Quai Gustave-Ador, 1207 Genève",1207,Genève,Vélo / Draisienne,,,,,https://www.geneve.ch,,2026-06-01,2026-07-31
Ciné pour enfants aux Cinémas du Grütli,Événements de saison,4-12+,Payant,Intérieur,"Rue du Général-Dufour 16, 1204 Genève",1204,Genève,Cinéma,,,,,https://www.cinemas-du-grutli.ch,Tarif de 5 à 8 francs. Âge conseillé variable selon les films.,2026-06-03,2026-08-30
